,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,BMI,topic_no
0,Ham kaas op een tosti,2: Wat eet ik: Foods,3.0,2.0,"['ham', 'tosti', 'kas']","['ham', 'kas', 'tosti']",0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2
1,Ham en kaas op een tosti like,2: Wat eet ik: Foods,3.0,1.0,"['ham', 'tosti', 'kas']","['ham', 'kas', 'tosti', 'lik']",0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,2
2,Ik heb honger,5: Drink / Mjamm,,2.0,['honger'],['honger'],2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5
3,Ik ben kort en pittig,4: Honger,,1.0,['pittig'],"['kort', 'pittig']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,14.0,4
4,Ik ?? snoep,1: Eten,4.0,1.0,['snoep'],['snoep'],0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1
5,Broodtrommel,7: Dutch meals,,0.0,['broodtrommel'],['broodtrommel'],0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7
6,Dit heb ik nu als toetje maar hij ziet er wel iets anders uit en de binnenkant is zo lekker echt Ik zal er zijn maar vertellen over Ja jullie lezen maar ik sta nee ik schrijf het maar ok maar als je hem dus ook en sluit daar ging het licht uit komen ok dan valt er allemaal chocolademousse uit en Smarties als je het ook allemaal in een dat zo lekker en ik ga nu dus lekker smikkelen,"8: Food, ijs, diverse",4.0,4.0,"['smarties', 'toetj', 'smikkel']","['toetj', 'ziet', 'wel', 'ander', 'binnenkant', 'lekker', 'echt', 'vertell', 'jullie', 'lez', 'sta', 'nee', 'schrijf', 'ok', 'sluit', 'ging', 'licht', 'kom', 'ok', 'valt', 'allemal', 'chocolademous', 'smarties', 'allemal', 'lekker', 'ga', 'lekker', 'smikkel']",2.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.325,0.0,1.0,0.0,0.0,1.0,14.0,8
7,Dus als je een open snijdt dan komt er allemaal chocolademousse uit Smarties en karamelsaus het ruikt eruit echt zo lekker met wat weet ik niet Ik weet niet of het lekker is maar ja iedereen weet dat het lekker wordt ik ben raar Like This Is dit bericht als je dat,"8: Food, ijs, diverse",4.0,2.0,"['karamelsaus', 'smarties']","['open', 'snijdt', 'komt', 'allemal', 'chocolademous', 'smarties', 'karamelsaus', 'ruikt', 'eruit', 'echt', 'lekker', 'wet', 'wet', 'lekker', 'iederen', 'wet', 'lekker', 'rar', 'lik', 'this', 'bericht']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.392,0.0,1.0,1.0,0.0,0.0,14.0,8
8,Nou ik heb dus de taart en die lijkt me echt heel lekker Ik ga nu een hapje nemen Ik ga dus nu proeven moet even door praten want anders dan ik ga nu een hapje nemen Oh mijn god die is lekker proeven Zeg even als je dat wilt dat ik wil je echt waar geloof me lekker lekker lekker uitroepteken uitroepteken uitroepteken en misschien wel wat rare teksten van dolfijnen die niet kloppen zeg maar mij Dat komt omdat het staat er bij het kan inspreken en dan typt het zelf voor je En dat is leuk lekkere taart echt zo lekker maar Doei buy,"8: Food, ijs, diverse",4.0,1.0,"['taart', 'taart', 'hapj', 'hapj']","['nou', 'taart', 'lijkt', 'echt', 'hel', 'lekker', 'ga', 'hapj', 'nem', 'ga', 'proev', 'even', 'prat', 'ander', 'ga', 'hapj', 'nem', 'oh', 'god', 'lekker', 'proev', 'zeg', 'even', 'wilt', 'echt', 'war', 'gelof', 'lekker', 'lekker', 'lekker', 'uitroeptek', 'uitroeptek', 'uitroeptek', 'misschien', 'wel', 'rar', 'tekst', 'dolfijn', 'klopp', 'zeg', 'komt', 'stat', 'insprek', 'typt', 'leuk', 'lekker', 'taart', 'echt', 'lekker', 'doei', 'buy']",0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.455,0.0,0.0,1.0,0.0,0.0,14.0,8
10,Kersen zijn bae,6: Eating plans / Tafel,1.0,5.0,['kers'],"['kers', 'bae']",2.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6
